Thread 1: 21:08:00.733, Counter: 143
Thread 3: 21:08:00.796, Counter: 144
Thread 2: 21:08:00.859, Counter: 145
Thread 1: 21:08:00.985, Counter: 146
Thread 1: 21:08:01.246, Counter: 147
Thread 2: 21:08:01.373, Counter: 148
Thread 1: 21:08:01.500, Counter: 149
Thread 1: 21:08:01.757, Counter: 150
Thread 3: 21:08:01.803, Counter: 151
Thread 2: 21:08:01.883, Counter: 152
Thread 1: 21:08:02.014, Counter: 153
Thread 1: 21:08:02.266, Counter: 154
Thread 2: 21:08:02.390, Counter: 155
Thread 1: 21:08:02.531, Counter: 156
Thread 1: 21:08:02.786, Counter: 157
Thread 3: 21:08:02.817, Counter: 158
Thread 2: 21:08:02.896, Counter: 159
Thread 1: 21:08:03.038, Counter: 160
Thread 1: 21:08:03.303, Counter: 161
Thread 2: 21:08:03.400, Counter: 162
Thread 1: 21:08:03.556, Counter: 163
Thread 1: 21:08:03.819, Counter: 165
Thread 3: 21:08:03.819, Counter: 165
Thread 2: 21:08:03.911, Counter: 166
Thread 1: 21:08:04.083, Counter: 167
Thread 1: 21:08:04.340, Counter: 168
Thread 2: 21:08:04.418, Counter: 169
Thread 1: 21:08:04.594, Counter: 170
Thread 3: 21:08:04.821, Counter: 171
Thread 1: 21:08:04.853, Counter: 172
Thread 2: 21:08:04.930, Counter: 173
Thread 1: 21:08:05.118, Counter: 174
Thread 1: 21:08:05.372, Counter: 175
Thread 2: 21:08:05.433, Counter: 176
Thread 1: 21:08:05.636, Counter: 177
Thread 3: 21:08:05.823, Counter: 178
Thread 1: 21:08:05.900, Counter: 179
Thread 2: 21:08:05.947, Counter: 180
Thread 1: 21:08:06.151, Counter: 181
Thread 1: 21:08:06.402, Counter: 182
Thread 2: 21:08:06.448, Counter: 183
Thread 1: 21:08:06.666, Counter: 184
Thread 3: 21:08:06.838, Counter: 185
Thread 1: 21:08:06.921, Counter: 186
Thread 2: 21:08:06.949, Counter: 187
Thread 1: 21:08:07.183, Counter: 188
Thread 1: 21:08:07.437, Counter: 189
Thread 2: 21:08:07.453, Counter: 190
Thread 1: 21:08:07.690, Counter: 191
Thread 3: 21:08:07.845, Counter: 192
Thread 1: 21:08:07.955, Counter: 194
Thread 2: 21:08:07.955, Counter: 194
Thread 1: 21:08:08.219, Counter: 195
Thread 2: 21:08:08.457, Counter: 196
Thread 1: 21:08:08.472, Counter: 197
Thread 1: 21:08:08.723, Counter: 198
Thread 3: 21:08:08.851, Counter: 199
Thread 2: 21:08:08.963, Counter: 200
Thread 1: 21:08:08.979, Counter: 201
Thread 1: 21:08:09.230, Counter: 202
Thread 2: 21:08:09.478, Counter: 203
